ID,CDC20,GNG4,CCL20,EGF,GLP1R,ADRA1A,CDK1,E2F8,MTNR1B,MMP1,MMP3,FOXM1,IGF1,MYH7,BUB1B,PLK1,GNAO1,MT2A,MT1E,MT1F,MT1G,MT1X,GLP2R,MYH13,MYH8,MYH4,MYH1,ADRA1D,E2F1,MMP9,GPR50
GSM2049057,6,2,6,0,2,8317,25,6,0,1,0,83,1352,3,15,48,1381,20261,7116,4487,16344,8013,40,0,1,0,0,0,44,11,7
GSM2049058,31,2,62,1,4,2695,48,31,1,4,0,164,552,5,33,69,507,14646,7852,1931,8496,5116,95,1,1,11,1,1,88,19,2
GSM2049059,18,6,13,0,2,5425,17,5,0,22,0,252,1181,6,7,77,929,30755,16597,6979,27644,15396,65,1,2,0,0,6,31,13,2
GSM2049060,25,4,17,0,0,5338,29,5,0,0,0,142,3444,8,14,62,713,42967,25386,9363,53949,18617,12,1,0,1,0,2,40,49,0
GSM2049061,11,3,7,2,1,6008,21,5,0,1,0,136,1946,6,6,42,480,30754,14104,3694,14259,11146,18,0,1,0,0,1,21,5,1
GSM2049062,23,4,37,2,0,3231,29,8,0,2,0,117,634,4,12,47,686,23494,11863,3045,17167,8602,15,0,0,0,0,2,79,12,0
GSM2049063,6,1,9,3,1,4839,14,5,0,1,0,63,907,2,6,14,447,12889,6243,765,4026,6490,15,0,0,1,0,1,17,38,1
GSM2049064,3,1,1,1,0,4159,3,4,0,0,0,36,3573,1,2,37,894,33078,12778,6339,37556,11487,55,3,0,0,1,0,8,8,0
GSM2049065,9,1,17,2,0,2265,33,10,0,0,1,95,917,1,19,47,713,16726,8217,1685,5345,6697,20,1,0,6,1,0,8,7,0
GSM2049066,19,0,32,2,3,1547,10,4,0,74,4,229,375,10,6,107,818,23669,13350,3628,8980,11099,159,2,0,1,5,40,43,30,1
GSM2049067,8,0,10,0,2,5381,8,3,0,2,0,188,1523,6,2,57,901,20773,8959,3622,19226,9319,17,0,0,0,0,0,18,4,1
GSM2049068,12,2,40,0,0,2316,28,9,0,0,0,229,829,0,8,78,582,36474,18981,5210,19811,13674,17,1,0,11,1,2,31,38,2
GSM2049069,9,0,21,0,1,5491,7,2,0,3,1,147,2049,2,6,37,678,22623,12946,3845,17864,9135,7,0,1,0,0,1,32,2,2
GSM2049070,20,3,16,0,0,597,12,17,0,0,0,97,283,2,9,49,597,18396,5632,1054,6949,4233,3,0,0,0,0,0,55,16,0
GSM2049071,37,7,160,4,6,3587,56,12,0,17,0,130,1354,0,25,56,521,24684,8764,1697,8739,6301,257,0,3,0,29,12,68,82,0
GSM2049072,3,0,8,1,1,3481,4,1,0,2,0,148,981,0,0,34,663,23870,12786,4083,20233,11056,14,0,1,0,0,0,16,1,0
GSM2049073,6,4,7,1,0,3836,7,6,0,0,0,78,1021,2,5,34,853,21208,10317,2245,12407,7960,25,0,0,0,0,1,24,6,1
GSM2049074,5,0,9,0,1,1117,8,4,0,0,0,103,596,0,4,46,772,9366,3644,729,1656,2668,1,0,0,3,0,0,10,2,0
GSM2049075,18,47,178,1,5,3469,15,5,3,1,0,156,2388,6,10,50,1133,62674,16827,7268,25398,11369,10,0,0,4,0,3,28,27,0
GSM2049076,15,3,34,1,0,758,35,18,0,1,0,141,981,0,28,33,218,17824,7271,2109,5098,2912,9,1,0,1,0,2,34,11,1
GSM2049077,29,2,81,2,0,4147,77,20,0,2,0,139,2738,0,52,87,498,10107,5772,1335,4176,4426,52,0,0,1,0,0,21,9,2
GSM2049078,26,4,178,11,2,2666,112,34,0,91,0,96,1066,0,82,31,325,6881,4196,1457,3851,4110,63,3,1,1,0,1,9,9,0
GSM2049079,20,1,7,0,3,5395,42,26,0,3,0,130,1849,3,27,68,581,11119,7909,1550,7002,6001,58,1,0,1,0,0,102,60,1
GSM2049080,14,1,61,0,0,2178,24,5,0,5,0,198,419,1,15,72,184,20732,9928,986,3429,3936,14,1,0,0,0,0,40,34,2
GSM2049081,29,3,64,1,2,2026,52,25,1,10,0,96,176,2,25,57,796,13712,6220,1935,10292,4583,77,1,1,2,0,4,59,7,0
GSM2049082,78,2,416,1,4,2263,100,29,0,86,0,204,1763,0,42,97,1415,41108,15209,3960,12218,11607,8,4,0,5,0,5,127,150,0
